stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
890167,,Southern Cross Cct,,-19.319624,146.751251,,,0,
890168,,Creekwood Way,,-19.320829,146.748856,,,0,
890169,,Siris Pl,,-19.31979,146.746948,,,0,
890170,,White Beach Ct,,-19.318945,146.743195,,,0,
890171,,Freshwater Dr,,-19.318848,146.738403,,,0,
890172,,Freshwater Dr,,-19.318861,146.738281,,,0,
890173,,Rivergreen Ct,,-19.317753,146.741501,,,0,
890174,,White Beach Ct,,-19.318995,146.743683,,,0,
890175,,Siris Pl,,-19.319565,146.746887,,,0,
890176,,Creekwood Way,,-19.320742,146.748947,,,0,
890177,,Southern Cross Cct,,-19.318365,146.751526,,,0,
890178,,Riverside Community Centre,,-19.316519,146.752869,,,0,
890179,,Regatta Cr,,-19.31675,146.755661,,,0,
890180,,Riverside Shopping Centre,,-19.316971,146.758316,,,0,
890181,,Willows Shopping Centre,,-19.314438,146.727676,,,0,
890182,,Paluma St,,-19.312323,146.729721,,,0,
890183,,Kirwan State High School (Thuringowa Dr),,-19.30851,146.732162,,,0,
890184,,Thuringowa / Charles,,-19.304777,146.734161,,,0,
890185,,Burramugga Cres,,-19.298845,146.736099,,,0,
890186,,Garbutt Shopping Centre (Hugh St),,-19.265699,146.783203,,,0,
890187,,Cape Pallarenda,,-19.199947,146.773682,,,0,
890188,,Rowes Bay Caravan Park,,-19.241219,146.791183,,,0,
890189,,Marshall St,,-19.244181,146.798035,,,0,
890190,,Primrose / Rose,,-19.24358,146.801285,,,0,
890191,,Primrose / Rose,,-19.243723,146.8013,,,0,
890192,,Stuart St,,-19.246471,146.808182,,,0,
890193,,Flinders St East,,-19.257923,146.818695,,,0,
890194,,Wickham St,,-19.25709,146.821289,,,0,
890204,,Centenary Fountain,,-19.255722,146.822876,,,0,
890206,,Ferry Terminal,,-19.254961,146.825363,,,0,
890207,,Reef HQ,,-19.257292,146.822708,,,0,
890208,,Flinders St East,,-19.257887,146.819214,,,0,
