trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
67881-GOOGLE-TWBA_MUL-Weekday-01,08:52:00,08:52:00,880502,10,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:52:00,08:52:00,880503,11,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:53:00,08:53:00,880504,12,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:53:00,08:53:00,880505,13,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:54:00,08:54:00,880506,14,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:55:00,08:55:00,880507,15,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:56:00,08:56:00,880508,16,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:57:00,08:57:00,880509,17,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:57:00,08:57:00,880510,18,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:58:00,08:58:00,880511,19,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:59:00,08:59:00,880512,20,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:00:00,09:00:00,880513,21,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:02:00,09:02:00,880769,22,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:03:00,09:03:00,880515,23,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:03:00,09:03:00,880172,24,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:05:00,09:05:00,880173,25,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:10:00,09:10:00,880255,26,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:10:00,09:10:00,880256,27,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:11:00,09:11:00,880423,28,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:12:00,09:12:00,880424,29,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:13:00,09:13:00,880425,30,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:15:00,09:15:00,880417,31,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:16:00,09:16:00,880418,32,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:17:00,09:17:00,880360,33,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:18:00,09:18:00,880361,34,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:20:00,09:20:00,880158,35,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:21:00,09:21:00,880516,36,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:22:00,09:22:00,880517,37,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:23:00,09:23:00,880518,38,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:23:00,09:23:00,880519,39,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:24:00,09:24:00,880520,40,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:24:00,09:24:00,880521,41,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:25:00,09:25:00,880522,42,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:26:00,09:26:00,880526,43,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:26:00,09:26:00,880527,44,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:27:00,09:27:00,880528,45,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:27:00,09:27:00,880529,46,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:28:00,09:28:00,880530,47,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:28:00,09:28:00,880531,48,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:29:00,09:29:00,880532,49,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:29:00,09:29:00,880533,50,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:30:00,09:30:00,880534,51,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:30:00,09:30:00,880535,52,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:31:00,09:31:00,880536,53,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:31:00,09:31:00,880537,54,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:32:00,09:32:00,880538,55,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:32:00,09:32:00,880539,56,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:33:00,09:33:00,880540,57,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:33:00,09:33:00,880541,58,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:35:00,09:35:00,880542,59,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:35:00,09:35:00,880543,60,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:35:00,09:35:00,880544,61,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:35:00,09:35:00,880545,62,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:35:00,09:35:00,880546,63,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:36:00,09:36:00,880547,64,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:36:00,09:36:00,880555,65,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:36:00,09:36:00,880556,66,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:37:00,09:37:00,880557,67,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:37:00,09:37:00,880558,68,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:37:00,09:37:00,880340,69,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:38:00,09:38:00,880341,70,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:38:00,09:38:00,880342,71,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:38:00,09:38:00,880217,72,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,09:40:00,09:40:00,880218,73,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:30:00,09:30:00,880492,1,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:30:00,09:30:00,880493,2,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:31:00,09:31:00,880494,3,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:31:00,09:31:00,880495,4,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:32:00,09:32:00,880496,5,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:32:00,09:32:00,880497,6,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:33:00,09:33:00,880498,7,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:35:00,09:35:00,880500,8,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:36:00,09:36:00,880501,9,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:37:00,09:37:00,880502,10,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:37:00,09:37:00,880503,11,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:38:00,09:38:00,880504,12,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:38:00,09:38:00,880505,13,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:39:00,09:39:00,880506,14,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:40:00,09:40:00,880507,15,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:41:00,09:41:00,880508,16,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:42:00,09:42:00,880509,17,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:42:00,09:42:00,880510,18,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:43:00,09:43:00,880511,19,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:44:00,09:44:00,880512,20,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:45:00,09:45:00,880513,21,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:47:00,09:47:00,880769,22,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:48:00,09:48:00,880515,23,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:48:00,09:48:00,880172,24,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:50:00,09:50:00,880173,25,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:55:00,09:55:00,880255,26,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:55:00,09:55:00,880256,27,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:56:00,09:56:00,880423,28,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:57:00,09:57:00,880424,29,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,09:58:00,09:58:00,880425,30,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:00:00,10:00:00,880417,31,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:01:00,10:01:00,880418,32,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:02:00,10:02:00,880360,33,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:03:00,10:03:00,880361,34,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:05:00,10:05:00,880158,35,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:06:00,10:06:00,880516,36,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:07:00,10:07:00,880517,37,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:08:00,10:08:00,880518,38,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:08:00,10:08:00,880519,39,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:09:00,10:09:00,880520,40,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:09:00,10:09:00,880521,41,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:10:00,10:10:00,880522,42,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:11:00,10:11:00,880526,43,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:11:00,10:11:00,880527,44,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:12:00,10:12:00,880528,45,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:12:00,10:12:00,880529,46,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:13:00,10:13:00,880530,47,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:13:00,10:13:00,880531,48,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:14:00,10:14:00,880532,49,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:14:00,10:14:00,880533,50,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:15:00,10:15:00,880534,51,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:15:00,10:15:00,880535,52,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:16:00,10:16:00,880536,53,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:16:00,10:16:00,880537,54,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:17:00,10:17:00,880538,55,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:17:00,10:17:00,880539,56,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:18:00,10:18:00,880540,57,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:18:00,10:18:00,880541,58,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:20:00,10:20:00,880542,59,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:20:00,10:20:00,880543,60,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:20:00,10:20:00,880544,61,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:20:00,10:20:00,880545,62,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:20:00,10:20:00,880546,63,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:21:00,10:21:00,880547,64,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:21:00,10:21:00,880555,65,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:21:00,10:21:00,880556,66,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:22:00,10:22:00,880557,67,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:22:00,10:22:00,880558,68,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:22:00,10:22:00,880340,69,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:23:00,10:23:00,880341,70,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:23:00,10:23:00,880342,71,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:23:00,10:23:00,880217,72,0,0
67882-GOOGLE-TWBA_MUL-Weekday-01,10:25:00,10:25:00,880218,73,0,0
