service_id,date,exception_type
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131011,2
GOOGLE-MAHV_MUL-Weekday-03,20131014,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131014,2
GOOGLE-MAHV_MUL-Weekday-03,20131015,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131015,2
GOOGLE-MAHV_MUL-Weekday-03,20131016,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131016,2
GOOGLE-MAHV_MUL-Weekday-03,20131017,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131017,2
GOOGLE-MAHV_MUL-Weekday-03,20131018,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131018,2
GOOGLE-MAHV_MUL-Weekday-03,20131021,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131021,2
GOOGLE-MAHV_MUL-Weekday-03,20131022,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131022,2
GOOGLE-MAHV_MUL-Weekday-03,20131023,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131023,2
GOOGLE-MAHV_MUL-Weekday-03,20131024,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131024,2
GOOGLE-MAHV_MUL-Weekday-03,20131025,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131025,2
GOOGLE-MAHV_MUL-Weekday-03,20131028,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131028,2
GOOGLE-MAHV_MUL-Weekday-03,20131029,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131029,2
GOOGLE-MAHV_MUL-Weekday-03,20131030,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131030,2
GOOGLE-MAHV_MUL-Weekday-03,20131031,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131031,2
GOOGLE-MAHV_MUL-Weekday-03,20131101,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131101,2
GOOGLE-MAHV_MUL-Weekday-03,20131104,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131104,2
GOOGLE-MAHV_MUL-Weekday-03,20131105,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131105,2
GOOGLE-MAHV_MUL-Weekday-03,20131106,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131106,2
GOOGLE-MAHV_MUL-Weekday-03,20131107,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131107,2
GOOGLE-MAHV_MUL-Weekday-03,20131108,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131108,2
GOOGLE-MAHV_MUL-Weekday-03,20131111,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131111,2
GOOGLE-MAHV_MUL-Weekday-03,20131112,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131112,2
